2025-12-13 16:45:47.802277 Job submitted! latency-BMode-async-30-1-1Parallelism 30, windowStep/Slide 1, Approach async, Steps 1, Frequency 0
 
2025-12-13 16:45:51.235832 Job Status: 200, Vertices: ['RUNNING', 'RUNNING', 'RUNNING', 'INITIALIZING', 'RUNNING', 'RUNNING']

2025-12-13 16:45:51.276332 Job Status: 200, Vertices: ['RUNNING', 'RUNNING', 'RUNNING', 'INITIALIZING', 'RUNNING', 'RUNNING']

2025-12-13 16:45:51.316832 Job Status: 200, Vertices: ['RUNNING', 'RUNNING', 'RUNNING', 'INITIALIZING', 'RUNNING', 'RUNNING']

2025-12-13 16:45:51.357198 Job Status: 200, Vertices: ['RUNNING', 'RUNNING', 'RUNNING', 'INITIALIZING', 'RUNNING', 'RUNNING']

2025-12-13 16:45:51.398093 Job Status: 200, Vertices: ['RUNNING', 'RUNNING', 'RUNNING', 'INITIALIZING', 'RUNNING', 'RUNNING']

2025-12-13 16:45:51.437165 Job Status: 200, Vertices: ['RUNNING', 'RUNNING', 'RUNNING', 'INITIALIZING', 'RUNNING', 'RUNNING']

2025-12-13 16:45:51.477919 Job Status: 200, Vertices: ['RUNNING', 'RUNNING', 'RUNNING', 'INITIALIZING', 'RUNNING', 'RUNNING']

2025-12-13 16:45:51.522321 Job Status: 200, Vertices: ['RUNNING', 'RUNNING', 'RUNNING', 'INITIALIZING', 'RUNNING', 'RUNNING']

2025-12-13 16:45:51.561220 Job Status: 200, Vertices: ['RUNNING', 'RUNNING', 'RUNNING', 'INITIALIZING', 'RUNNING', 'RUNNING']

2025-12-13 16:45:51.602116 Job Status: 200, Vertices: ['RUNNING', 'RUNNING', 'RUNNING', 'INITIALIZING', 'RUNNING', 'RUNNING']

2025-12-13 16:45:51.641914 Job Status: 200, Vertices: ['RUNNING', 'RUNNING', 'RUNNING', 'INITIALIZING', 'RUNNING', 'RUNNING']

2025-12-13 16:45:51.683108 Job Status: 200, Vertices: ['RUNNING', 'RUNNING', 'RUNNING', 'INITIALIZING', 'RUNNING', 'RUNNING']

2025-12-13 16:45:51.723441 Job Status: 200, Vertices: ['RUNNING', 'RUNNING', 'RUNNING', 'INITIALIZING', 'RUNNING', 'RUNNING']

2025-12-13 16:45:51.763118 Job Status: 200, Vertices: ['RUNNING', 'RUNNING', 'RUNNING', 'INITIALIZING', 'RUNNING', 'RUNNING']

2025-12-13 16:45:51.804478 Job Status: 200, Vertices: ['RUNNING', 'RUNNING', 'RUNNING', 'INITIALIZING', 'RUNNING', 'RUNNING']

2025-12-13 16:45:51.845652 Job Status: 200, Vertices: ['RUNNING', 'RUNNING', 'RUNNING', 'INITIALIZING', 'RUNNING', 'RUNNING']

2025-12-13 16:45:51.889766 Job Status: 200, Vertices: ['RUNNING', 'RUNNING', 'RUNNING', 'RUNNING', 'RUNNING', 'RUNNING']

2025-12-13 16:45:51.889795 All vertices are RUNNING or FINISHED. Job is fully started or completed.

