2025-12-13 16:27:35.279473 Job submitted! latency-BMode-sync-30-1-1Parallelism 30, windowStep/Slide 1, Approach sync, Steps 1, Frequency 0
 
2025-12-13 16:27:37.258088 Job Status: 200, Vertices: ['CREATED', 'CREATED', 'CREATED', 'CREATED', 'CREATED', 'CREATED', 'CREATED', 'CREATED']

2025-12-13 16:27:37.295393 Job Status: 200, Vertices: ['CREATED', 'CREATED', 'CREATED', 'CREATED', 'CREATED', 'CREATED', 'CREATED', 'CREATED']

2025-12-13 16:27:37.342847 Job Status: 200, Vertices: ['CREATED', 'CREATED', 'CREATED', 'INITIALIZING', 'CREATED', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING']

2025-12-13 16:27:37.470731 Job Status: 200, Vertices: ['CREATED', 'CREATED', 'CREATED', 'INITIALIZING', 'CREATED', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING']

2025-12-13 16:27:37.508860 Job Status: 200, Vertices: ['CREATED', 'CREATED', 'CREATED', 'INITIALIZING', 'CREATED', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING']

2025-12-13 16:27:37.545894 Job Status: 200, Vertices: ['CREATED', 'CREATED', 'CREATED', 'INITIALIZING', 'CREATED', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING']

2025-12-13 16:27:37.584681 Job Status: 200, Vertices: ['CREATED', 'CREATED', 'CREATED', 'INITIALIZING', 'CREATED', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING']

2025-12-13 16:27:37.628743 Job Status: 200, Vertices: ['CREATED', 'CREATED', 'CREATED', 'INITIALIZING', 'CREATED', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING']

2025-12-13 16:27:37.724805 Job Status: 200, Vertices: ['CREATED', 'CREATED', 'CREATED', 'INITIALIZING', 'CREATED', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING']

2025-12-13 16:27:37.772860 Job Status: 200, Vertices: ['CREATED', 'CREATED', 'CREATED', 'INITIALIZING', 'CREATED', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING']

2025-12-13 16:27:37.815057 Job Status: 200, Vertices: ['CREATED', 'CREATED', 'CREATED', 'INITIALIZING', 'CREATED', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING']

2025-12-13 16:27:37.853390 Job Status: 200, Vertices: ['CREATED', 'CREATED', 'CREATED', 'INITIALIZING', 'CREATED', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING']

2025-12-13 16:27:37.891629 Job Status: 200, Vertices: ['CREATED', 'CREATED', 'CREATED', 'INITIALIZING', 'CREATED', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING']

2025-12-13 16:27:37.929575 Job Status: 200, Vertices: ['CREATED', 'CREATED', 'CREATED', 'INITIALIZING', 'CREATED', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING']

2025-12-13 16:27:37.967347 Job Status: 200, Vertices: ['CREATED', 'CREATED', 'CREATED', 'INITIALIZING', 'CREATED', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING']

2025-12-13 16:27:38.007948 Job Status: 200, Vertices: ['CREATED', 'CREATED', 'CREATED', 'INITIALIZING', 'CREATED', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING']

2025-12-13 16:27:38.046449 Job Status: 200, Vertices: ['CREATED', 'CREATED', 'CREATED', 'INITIALIZING', 'CREATED', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING']

2025-12-13 16:27:38.083314 Job Status: 200, Vertices: ['CREATED', 'CREATED', 'CREATED', 'INITIALIZING', 'CREATED', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING']

2025-12-13 16:27:38.120971 Job Status: 200, Vertices: ['CREATED', 'CREATED', 'CREATED', 'INITIALIZING', 'CREATED', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING']

2025-12-13 16:27:38.158809 Job Status: 200, Vertices: ['CREATED', 'CREATED', 'CREATED', 'INITIALIZING', 'CREATED', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING']

2025-12-13 16:27:38.198270 Job Status: 200, Vertices: ['CREATED', 'CREATED', 'CREATED', 'INITIALIZING', 'CREATED', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING']

2025-12-13 16:27:38.237870 Job Status: 200, Vertices: ['CREATED', 'CREATED', 'CREATED', 'INITIALIZING', 'CREATED', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING']

2025-12-13 16:27:38.278087 Job Status: 200, Vertices: ['CREATED', 'CREATED', 'CREATED', 'INITIALIZING', 'CREATED', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING']

2025-12-13 16:27:38.319934 Job Status: 200, Vertices: ['CREATED', 'CREATED', 'CREATED', 'INITIALIZING', 'CREATED', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING']

2025-12-13 16:27:38.362658 Job Status: 200, Vertices: ['INITIALIZING', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING']

2025-12-13 16:27:38.430840 Job Status: 200, Vertices: ['INITIALIZING', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING']

2025-12-13 16:27:38.472385 Job Status: 200, Vertices: ['INITIALIZING', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING']

2025-12-13 16:27:38.511947 Job Status: 200, Vertices: ['INITIALIZING', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING']

2025-12-13 16:27:38.557929 Job Status: 200, Vertices: ['INITIALIZING', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING']

2025-12-13 16:27:38.717188 Job Status: 200, Vertices: ['INITIALIZING', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING']

2025-12-13 16:27:38.761639 Job Status: 200, Vertices: ['INITIALIZING', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING']

